id,school_id,constituent_id,staff_id,occurred_at,interaction_type,direction,purpose,outcome,ask_amount,significant,subject,notes,follow_up_date,related_opportunity_id,related_campaign_id,related_gift_id,record_source
1,1,14201,1,2026-07-15T20:00:00Z,meeting,outbound,solicitation,connected,250000.00,true,"Proposal for $250,000","Presented a $250,000 proposal for Campus Renewal Fund in support of Library Renewal Initiative. The constituent asked practical questions about timing and use of funds; a decision was not recorded during the conversation.",2026-09-12,1,7,,advancement_entry
2,1,18989,2,2026-03-10T18:00:00Z,meeting,outbound,solicitation,connected,100000.00,true,"Proposal for $100,000","Presented a $100,000 proposal for Class of 2001 Scholarship in support of Class of 2001 25th Reunion. The constituent asked practical questions about timing and use of funds; a decision was not recorded during the conversation.",,2,4,,advancement_entry
3,1,18989,2,2026-03-25T13:00:00Z,call,inbound,solicitation,declined,100000.00,true,Proposal declined,"The constituent declined the proposal for Class of 2001 Scholarship, explaining that other philanthropic priorities took precedence. They remain open to program updates and a future conversation.",,2,4,,advancement_entry
4,1,8738,3,2026-03-05T17:00:00Z,note,internal,qualification,information_updated,,true,Career update review,Reviewed a recent promotion to Vice President of Product alongside prior giving and Engineering Club participation. The combination supports a qualification conversation about Engineering Innovation Fund.,2026-11-15,3,5,,advancement_entry
5,1,8738,3,2026-04-02T13:00:00Z,call,outbound,qualification,connected,,false,Qualification call,Connected for an introductory conversation about First-Generation Scholars. The constituent was receptive to occasional updates about Engineering Innovation Fund; no gift amount or timing was discussed.,2026-11-15,3,5,,advancement_entry
6,1,15674,4,2026-01-08T17:00:00Z,meeting,outbound,solicitation,connected,2750000.00,true,"Proposal for $2,750,000","Presented a $2,750,000 proposal for Campus Renewal Fund in support of Library Renewal Initiative. The constituent asked practical questions about timing and use of funds; a decision was not recorded during the conversation.",,4,7,,advancement_entry
7,1,15674,4,2026-02-01T18:00:00Z,email,inbound,solicitation,pledged,2750000.00,true,Commitment confirmed,"The constituent confirmed a $2,750,000 commitment to Campus Renewal Fund. The response was linked to the related gift record so payment and acknowledgement can be tracked.",,4,7,22215,advancement_entry
8,1,15674,4,2026-02-24T18:00:00Z,email,outbound,acknowledgement,gift_received,,false,Gift acknowledgement,"Sent a personal acknowledgement for the gift to Campus Renewal Fund, confirmed that the payment was recorded, and explained when the first stewardship update will arrive.",,4,7,22215,advancement_entry
9,1,15674,4,2026-04-06T14:00:00Z,meeting,outbound,stewardship,connected,,true,Stewardship update,Shared an early update on the work supported by Campus Renewal Fund. The constituent preferred concise progress reports and asked that the next update include a concrete student or faculty example.,,4,7,22215,advancement_entry
10,1,19391,5,2026-05-01T16:00:00Z,meeting,outbound,solicitation,connected,100000.00,true,"Proposal for $100,000","Presented a $100,000 proposal for Library and Learning Commons in support of Library Renewal Initiative. The constituent asked practical questions about timing and use of funds; a decision was not recorded during the conversation.",,5,7,,advancement_entry
