id,school_id,display_name,role,region,portfolio_capacity,active
1,1,Morgan Ellis,Major Gift Officer,Northeast,110,true
2,1,Taylor Brooks,Major Gift Officer,Mid-Atlantic,125,true
3,1,Jordan Reyes,Major Gift Officer,Southeast,95,true
4,1,Casey Morgan,Major Gift Officer,West,90,true
5,1,Riley Shah,Major Gift Officer,National,105,true
6,1,Cameron Price,Major Gift Officer,Northeast,100,false
7,1,Robin Walker,Annual Giving,National,,true
8,1,Drew Kim,Advancement Services,National,,true
9,1,Skyler Bennett,Events,National,,true
10,1,Alexis Grant,Leadership,National,,true
